@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
549,'2019/02/19 23:26:36:107',4,998,10,9,1,0,0
550,'2019/02/19 23:26:36:116',4,998,10,10,1,0,0
551,'2019/02/19 23:26:36:126',4,997,11,10,1,0,0
552,'2019/02/19 23:26:36:136',4,999,10,11,1,0,0
553,'2019/02/19 23:26:36:147',4,997,10,9,1,0,0
554,'2019/02/19 23:26:36:156',4,999,10,10,1,0,0
555,'2019/02/19 23:26:36:166',4,999,10,10,1,0,0
556,'2019/02/19 23:26:36:176',4,998,9,10,1,0,0
557,'2019/02/19 23:26:36:186',4,998,10,9,1,0,0
558,'2019/02/19 23:26:36:227',4,998,9,9,1,0,0
559,'2019/02/19 23:26:36:227',4,998,10,8,1,0,0
560,'2019/02/19 23:26:36:248',4,998,10,10,1,0,0
561,'2019/02/19 23:26:36:257',4,999,9,9,1,0,0
562,'2019/02/19 23:26:36:267',4,998,9,10,1,0,0
563,'2019/02/19 23:26:36:277',4,999,10,9,1,0,0
564,'2019/02/19 23:26:36:287',4,999,10,10,1,0,0
565,'2019/02/19 23:26:36:297',4,998,10,8,1,0,0
566,'2019/02/19 23:26:36:297',4,998,9,10,1,0,0
567,'2019/02/19 23:26:36:317',4,998,11,9,1,0,0
568,'2019/02/19 23:26:36:327',4,998,9,9,1,0,0
569,'2019/02/19 23:26:36:337',4,999,11,9,1,0,0
570,'2019/02/19 23:26:36:348',4,998,9,10,1,0,0
571,'2019/02/19 23:26:36:357',4,999,10,10,1,0,0
572,'2019/02/19 23:26:36:364',4,999,10,9,1,0,0
573,'2019/02/19 23:26:36:377',4,998,10,10,1,0,0
574,'2019/02/19 23:26:36:387',4,999,10,9,1,0,0
575,'2019/02/19 23:26:36:398',4,999,10,9,1,0,0
576,'2019/02/19 23:26:36:407',4,999,9,9,1,0,0
577,'2019/02/19 23:26:36:417',4,999,10,9,1,0,0
578,'2019/02/19 23:26:36:427',4,998,9,10,1,0,0
579,'2019/02/19 23:26:36:439',4,999,11,10,1,0,0
580,'2019/02/19 23:26:36:448',4,998,11,8,1,0,0
581,'2019/02/19 23:26:36:457',4,998,10,10,1,0,0
582,'2019/02/19 23:26:36:467',4,999,9,10,1,0,0
583,'2019/02/19 23:26:36:479',4,999,10,9,1,0,0
584,'2019/02/19 23:26:36:487',4,999,9,10,1,0,0
585,'2019/02/19 23:26:36:498',4,999,10,10,1,0,0
586,'2019/02/19 23:26:36:509',4,1000,9,9,1,0,0
587,'2019/02/19 23:26:36:517',4,997,10,10,1,0,0
588,'2019/02/19 23:26:36:528',4,999,9,9,1,0,0
589,'2019/02/19 23:26:36:538',4,998,10,9,1,0,0
590,'2019/02/19 23:26:36:545',4,998,10,9,1,0,0
591,'2019/02/19 23:26:36:557',4,997,9,10,1,0,0
592,'2019/02/19 23:26:36:568',4,999,10,9,1,0,0
593,'2019/02/19 23:26:36:577',4,999,10,9,1,0,0
594,'2019/02/19 23:26:36:588',4,999,10,10,1,0,0
595,'2019/02/19 23:26:36:597',4,998,10,10,1,0,0
596,'2019/02/19 23:26:36:607',4,998,11,10,1,0,0
597,'2019/02/19 23:26:36:617',4,998,11,9,1,0,0
598,'2019/02/19 23:26:36:628',4,998,10,9,1,0,0
599,'2019/02/19 23:26:36:638',4,1000,10,9,1,0,0
600,'2019/02/19 23:26:36:648',4,999,10,9,1,0,0
601,'2019/02/19 23:26:36:659',4,999,10,9,1,0,0
602,'2019/02/19 23:26:36:668',4,998,10,10,1,0,0
603,'2019/02/19 23:26:36:678',4,998,9,9,1,0,0
604,'2019/02/19 23:26:36:687',4,999,10,10,1,0,0
605,'2019/02/19 23:26:36:697',4,998,10,9,1,0,0
606,'2019/02/19 23:26:36:709',4,998,9,10,1,0,0
607,'2019/02/19 23:26:36:718',4,998,10,10,1,0,0
608,'2019/02/19 23:26:36:728',4,999,9,9,1,0,0
609,'2019/02/19 23:26:36:738',4,999,9,9,1,0,0
610,'2019/02/19 23:26:36:748',4,998,9,10,1,0,0
611,'2019/02/19 23:26:36:758',4,999,9,10,1,0,0
612,'2019/02/19 23:26:36:765',4,999,9,10,1,0,0
613,'2019/02/19 23:26:36:778',4,999,10,9,1,0,0
614,'2019/02/19 23:26:36:787',4,1001,10,10,1,0,0
615,'2019/02/19 23:26:36:798',4,999,10,10,1,0,0
616,'2019/02/19 23:26:36:808',4,1001,10,9,1,0,0
617,'2019/02/19 23:26:36:817',4,999,10,12,1,0,0
618,'2019/02/19 23:26:36:828',4,998,10,9,1,0,0
619,'2019/02/19 23:26:36:828',4,999,10,10,1,0,0
620,'2019/02/19 23:26:36:849',4,999,10,11,1,0,0
621,'2019/02/19 23:26:36:858',4,997,10,10,1,0,0
622,'2019/02/19 23:26:36:868',4,998,10,11,1,0,0
623,'2019/02/19 23:26:36:878',4,998,9,9,1,0,0
624,'2019/02/19 23:26:36:888',4,999,10,9,1,0,0
625,'2019/02/19 23:26:36:898',4,1000,10,8,1,0,0
626,'2019/02/19 23:26:36:909',4,999,9,10,1,0,0
627,'2019/02/19 23:26:36:918',4,998,10,9,1,0,0
628,'2019/02/19 23:26:36:928',4,997,9,10,1,0,0
629,'2019/02/19 23:26:36:939',4,999,9,9,1,0,0
630,'2019/02/19 23:26:36:948',4,998,10,10,1,0,0
631,'2019/02/19 23:26:36:959',4,999,11,10,1,0,0
632,'2019/02/19 23:26:36:968',4,998,10,10,1,0,0
633,'2019/02/19 23:26:36:979',4,998,10,10,1,0,0
634,'2019/02/19 23:26:36:988',4,998,10,9,1,0,0
635,'2019/02/19 23:26:36:999',4,998,9,10,1,0,0
636,'2019/02/19 23:26:37:009',4,999,11,11,1,0,0
637,'2019/02/19 23:26:37:017',4,997,9,9,1,0,0
638,'2019/02/19 23:26:37:028',4,999,10,10,1,0,0
639,'2019/02/19 23:26:37:039',4,999,10,9,1,0,0
640,'2019/02/19 23:26:37:049',4,998,9,9,1,0,0
641,'2019/02/19 23:26:37:057',4,996,10,9,1,0,0
642,'2019/02/19 23:26:37:069',4,999,10,9,1,0,0
643,'2019/02/19 23:26:37:079',4,999,9,10,1,0,0
644,'2019/02/19 23:26:37:088',4,998,9,9,1,0,0
645,'2019/02/19 23:26:37:097',4,1000,10,9,1,0,0
646,'2019/02/19 23:26:37:108',4,999,10,10,1,0,0
647,'2019/02/19 23:26:37:118',4,998,9,10,1,0,0
648,'2019/02/19 23:26:37:128',4,997,10,9,1,0,0
649,'2019/02/19 23:26:37:138',4,999,10,10,1,0,0
650,'2019/02/19 23:26:37:149',4,998,11,10,1,0,0
651,'2019/02/19 23:26:37:159',4,999,10,10,1,0,0
652,'2019/02/19 23:26:37:168',4,997,10,9,1,0,0
653,'2019/02/19 23:26:37:178',4,999,10,9,1,0,0
654,'2019/02/19 23:26:37:190',4,998,9,9,1,0,0
655,'2019/02/19 23:26:37:198',4,999,10,10,1,0,0
656,'2019/02/19 23:26:37:208',4,999,9,10,1,0,0
657,'2019/02/19 23:26:37:215',4,998,11,10,1,0,0
658,'2019/02/19 23:26:37:227',4,996,9,10,1,0,0
659,'2019/02/19 23:26:37:239',4,997,10,9,1,0,0
660,'2019/02/19 23:26:37:247',4,997,10,9,1,0,0
661,'2019/02/19 23:26:37:258',4,999,10,10,1,0,0
