@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
268,'2019/02/13 09:19:20:541',1,16,2,86,86,1
269,'2019/02/13 09:19:20:634',1,15,7,83,83,1
270,'2019/02/13 09:19:20:728',1,16,8,79,79,1
271,'2019/02/13 09:19:20:822',1,10,10,87,87,1
272,'2019/02/13 09:19:20:928',1,13,13,81,81,1
273,'2019/02/13 09:19:21:015',1,9,16,81,81,1
274,'2019/02/13 09:19:21:109',1,7,17,83,83,1
275,'2019/02/13 09:19:21:414',1,6,24,76,76,1
276,'2019/02/13 09:19:23:185',1,15,40,70,70,1
277,'2019/02/13 09:19:23:279',1,15,36,73,73,1
278,'2019/02/13 09:19:23:373',1,15,33,72,72,1
279,'2019/02/13 09:19:23:456',1,15,32,74,74,1
280,'2019/02/13 09:19:23:549',1,16,30,74,74,1
281,'2019/02/13 09:19:23:643',1,17,27,75,75,1
282,'2019/02/13 09:19:23:752',1,18,23,78,78,1
283,'2019/02/13 09:19:23:846',1,22,19,78,78,1
284,'2019/02/13 09:19:23:940',1,26,14,80,80,1
285,'2019/02/13 09:19:24:030',1,33,11,80,80,1
286,'2019/02/13 09:19:24:124',1,37,8,82,82,1
287,'2019/02/13 09:19:24:218',1,44,5,83,83,1
288,'2019/02/13 09:19:24:311',1,50,3,81,81,1
289,'2019/02/13 09:19:24:415',1,56,0,79,79,1
290,'2019/02/13 09:19:25:453',1,68,3,87,87,1
291,'2019/02/13 09:19:25:546',1,61,6,87,87,1
292,'2019/02/13 09:19:25:640',1,55,7,90,90,1
293,'2019/02/13 09:19:25:734',1,53,10,88,88,1
294,'2019/02/13 09:19:25:823',1,50,10,91,91,1
295,'2019/02/13 09:19:25:933',1,49,13,88,88,1
296,'2019/02/13 09:19:26:013',1,46,13,90,90,1
297,'2019/02/13 09:19:26:107',1,48,14,87,87,1
298,'2019/02/13 09:19:26:201',1,46,14,87,87,1
299,'2019/02/13 09:19:26:310',1,46,15,87,87,1
300,'2019/02/13 09:19:26:407',1,44,14,90,90,1
301,'2019/02/13 09:19:26:501',1,44,15,89,89,1
302,'2019/02/13 09:19:26:579',1,44,14,89,89,1
303,'2019/02/13 09:19:26:673',1,46,15,85,85,1
304,'2019/02/13 09:19:26:766',1,44,15,90,90,1
305,'2019/02/13 09:19:26:891',1,44,17,88,88,1
306,'2019/02/13 09:19:27:026',1,44,20,87,87,1
307,'2019/02/13 09:19:27:153',1,45,24,84,84,1
308,'2019/02/13 09:19:27:247',1,44,23,88,88,1
309,'2019/02/13 09:19:27:341',1,44,23,89,89,1
310,'2019/02/13 09:19:27:470',1,45,23,86,86,1
311,'2019/02/13 09:19:27:626',1,45,22,87,87,1
312,'2019/02/13 09:19:27:735',1,45,23,85,85,1
313,'2019/02/13 09:19:27:876',1,43,22,87,87,1
314,'2019/02/13 09:19:27:975',1,44,22,86,86,1
315,'2019/02/13 09:19:48:093',2,90,160,72,72,2
316,'2019/02/13 09:19:48:218',2,93,151,78,78,2
317,'2019/02/13 09:19:48:343',2,98,145,81,81,2
318,'2019/02/13 09:19:48:470',2,101,139,82,82,2
319,'2019/02/13 09:19:48:595',2,107,133,81,81,2
320,'2019/02/13 09:19:48:720',2,109,127,86,86,2
321,'2019/02/13 09:19:48:861',2,116,125,83,83,2
322,'2019/02/13 09:19:49:003',2,121,120,86,86,2
323,'2019/02/13 09:19:49:123',2,127,116,86,86,2
324,'2019/02/13 09:19:49:248',2,132,114,86,86,2
325,'2019/02/13 09:19:49:373',2,136,111,89,89,2
326,'2019/02/13 09:19:49:501',2,140,109,87,87,2
327,'2019/02/13 09:19:49:626',2,143,107,87,87,2
328,'2019/02/13 09:19:49:750',2,145,106,88,88,2
329,'2019/02/13 09:19:49:875',2,149,103,88,88,2
330,'2019/02/13 09:19:50:013',2,155,101,89,89,2
331,'2019/02/13 09:19:50:138',2,158,98,91,91,2
332,'2019/02/13 09:19:50:263',2,163,95,89,89,2
333,'2019/02/13 09:19:50:376',2,167,90,91,91,2
334,'2019/02/13 09:19:50:510',2,175,86,92,92,2
335,'2019/02/13 09:19:50:635',2,182,83,90,90,2
336,'2019/02/13 09:19:50:760',2,185,79,88,88,2
337,'2019/02/13 09:19:50:885',2,187,73,89,89,2
338,'2019/02/13 09:19:51:014',2,191,66,89,89,2
339,'2019/02/13 09:19:51:139',2,195,57,90,90,2
340,'2019/02/13 09:19:51:264',2,199,50,90,90,2
341,'2019/02/13 09:19:51:389',2,203,46,86,86,2
342,'2019/02/13 09:19:51:515',2,207,39,86,86,2
343,'2019/02/13 09:19:51:640',2,213,35,87,87,2
344,'2019/02/13 09:19:51:765',2,220,33,87,87,2
345,'2019/02/13 09:19:51:890',2,224,32,84,84,2
346,'2019/02/13 09:19:52:015',2,232,31,81,81,2
347,'2019/02/13 09:19:53:876',2,231,72,81,81,2
348,'2019/02/13 09:19:54:006',2,219,93,80,80,2
349,'2019/02/13 09:19:54:124',2,213,106,77,77,2
350,'2019/02/13 09:19:54:249',2,207,119,79,79,2
351,'2019/02/13 09:19:54:374',2,208,130,76,76,2
352,'2019/02/13 09:19:54:500',2,210,136,76,76,2
353,'2019/02/13 09:19:54:625',2,211,138,75,75,2
354,'2019/02/13 09:19:54:750',2,213,140,75,75,2
355,'2019/02/13 09:19:54:875',2,215,142,76,76,2
356,'2019/02/13 09:19:55:007',2,213,142,76,76,2
357,'2019/02/13 09:19:55:124',2,210,143,77,77,2
358,'2019/02/13 09:19:55:249',2,203,144,76,76,2
359,'2019/02/13 09:19:55:374',2,194,146,76,76,2
360,'2019/02/13 09:19:55:501',2,187,149,74,74,2
361,'2019/02/13 09:19:55:626',2,181,152,74,74,2
362,'2019/02/13 09:19:55:751',2,176,158,71,71,2
363,'2019/02/13 09:19:55:876',2,171,163,69,69,2
364,'2019/02/13 09:19:56:014',2,166,168,68,68,2
365,'2019/02/13 09:19:56:137',2,161,172,65,65,2
366,'2019/02/13 09:19:59:732',2,63,170,62,62,2
367,'2019/02/13 09:19:59:857',2,70,163,65,65,2
368,'2019/02/13 09:19:59:993',2,81,154,69,69,2
369,'2019/02/13 09:20:00:123',2,95,147,68,68,2
370,'2019/02/13 09:20:00:248',2,107,141,71,71,2
371,'2019/02/13 09:20:00:373',2,117,135,73,73,2
372,'2019/02/13 09:20:00:509',2,126,131,73,73,2
373,'2019/02/13 09:20:00:634',2,135,126,73,73,2
374,'2019/02/13 09:20:00:759',2,142,122,73,73,2
375,'2019/02/13 09:20:00:884',2,147,118,75,75,2
376,'2019/02/13 09:20:01:014',2,154,116,74,74,2
377,'2019/02/13 09:20:01:139',2,160,115,73,73,2
378,'2019/02/13 09:20:01:260',2,164,111,75,75,2
379,'2019/02/13 09:20:01:385',2,168,108,77,77,2
380,'2019/02/13 09:20:01:510',2,173,103,78,78,2
381,'2019/02/13 09:20:01:635',2,180,99,80,80,2
382,'2019/02/13 09:20:01:760',2,184,95,81,81,2
383,'2019/02/13 09:20:01:885',2,185,91,85,85,2
384,'2019/02/13 09:20:02:013',2,189,90,84,84,2
385,'2019/02/13 09:20:02:138',2,190,89,88,88,2
386,'2019/02/13 09:20:02:272',2,192,85,88,88,2
387,'2019/02/13 09:20:02:397',2,193,82,91,91,2
388,'2019/02/13 09:20:02:521',2,197,80,92,92,2
389,'2019/02/13 09:20:02:646',2,201,78,90,90,2
390,'2019/02/13 09:20:02:756',2,205,70,93,93,2
391,'2019/02/13 09:20:02:896',2,205,65,96,96,2
392,'2019/02/13 09:20:03:014',2,198,61,100,100,2
393,'2019/02/13 09:20:03:139',2,194,61,101,101,2
394,'2019/02/13 09:20:03:269',2,190,59,105,105,2
395,'2019/02/13 09:20:03:394',2,191,55,103,103,2
396,'2019/02/13 09:20:03:519',2,192,53,105,105,2
397,'2019/02/13 09:20:03:644',2,195,51,103,103,2
398,'2019/02/13 09:20:03:769',2,203,49,101,101,2
399,'2019/02/13 09:20:03:909',2,212,44,100,100,2
400,'2019/02/13 09:20:04:031',2,225,41,90,90,2
401,'2019/02/13 09:20:05:311',2,216,43,98,98,2
402,'2019/02/13 09:20:05:437',2,205,53,104,104,2
403,'2019/02/13 09:20:05:562',2,197,61,105,105,2
404,'2019/02/13 09:20:05:687',2,192,68,104,104,2
405,'2019/02/13 09:20:05:827',2,183,73,103,103,2
406,'2019/02/13 09:20:05:956',2,172,76,101,101,2
407,'2019/02/13 09:20:06:076',2,162,78,101,101,2
408,'2019/02/13 09:20:06:201',2,154,84,100,100,2
409,'2019/02/13 09:20:06:326',2,148,87,102,102,2
410,'2019/02/13 09:20:06:454',2,142,93,98,98,2
411,'2019/02/13 09:20:06:579',2,135,99,99,99,2
412,'2019/02/13 09:20:06:704',2,130,102,101,101,2
413,'2019/02/13 09:20:06:829',2,126,106,102,102,2
414,'2019/02/13 09:20:06:968',2,122,109,101,101,2
415,'2019/02/13 09:20:07:093',2,115,112,100,100,2
416,'2019/02/13 09:20:07:218',2,107,115,100,100,2
417,'2019/02/13 09:20:07:358',2,103,113,99,99,2
418,'2019/02/13 09:20:07:501',2,95,110,100,100,2
419,'2019/02/13 09:20:07:641',2,84,108,102,102,2
420,'2019/02/13 09:20:07:782',2,78,107,104,104,2
421,'2019/02/13 09:20:07:907',2,74,108,101,101,2
422,'2019/02/13 09:20:08:045',2,71,107,102,102,2
423,'2019/02/13 09:20:08:180',2,68,105,104,104,2
424,'2019/02/13 09:20:08:299',2,64,103,106,106,2
425,'2019/02/13 09:20:08:424',2,64,102,106,106,2
426,'2019/02/13 09:20:08:549',2,64,103,106,106,2
427,'2019/02/13 09:20:08:674',2,64,105,107,107,2
428,'2019/02/13 09:20:08:799',2,58,109,110,110,2
429,'2019/02/13 09:20:08:924',2,59,115,107,107,2
430,'2019/02/13 09:20:09:060',2,59,123,104,104,2
431,'2019/02/13 09:20:09:185',2,59,127,101,101,2
432,'2019/02/13 09:20:09:310',2,62,131,97,97,2
433,'2019/02/13 09:20:09:438',2,67,131,101,101,2
434,'2019/02/13 09:20:09:563',2,75,131,100,100,2
435,'2019/02/13 09:20:09:688',2,85,130,101,101,2
436,'2019/02/13 09:20:09:813',2,97,126,104,104,2
437,'2019/02/13 09:20:09:944',2,111,120,108,108,2
438,'2019/02/13 09:20:10:061',2,120,116,112,112,2
439,'2019/02/13 09:20:10:186',2,135,113,111,111,2
440,'2019/02/13 09:20:10:311',2,149,107,113,113,2
441,'2019/02/13 09:20:10:439',2,161,98,115,115,2
442,'2019/02/13 09:20:10:557',2,170,92,115,115,2
